Time,DigitalTherm,Thermistor
16:08.4,0.72,0.06
16:14.0,0.67,0.12
16:19.8,0.65,0.06
16:25.5,0.74,0.06
16:31.2,0.72,0.06
16:36.8,0.69,0.06
16:42.5,0.72,0.06
16:48.2,0.67,0.06
16:53.9,0.69,0.06
16:59.6,0.67,0.06
17:05.3,0.69,0.12
17:11.0,0.72,0.12
17:16.7,0.72,0.12
17:22.3,0.72,0.06
17:28.0,0.72,0.12
17:33.7,0.65,0.06
17:39.4,0.69,0.06
17:45.1,0.69,0.12
17:50.8,0.69,0.12
17:56.5,0.67,0.06
18:02.2,0.72,0.06
18:07.9,0.69,0.06
18:13.6,0.74,0.06
18:19.3,0.69,0.06
18:24.9,0.69,0.06
18:30.6,0.69,0.06
18:36.3,0.67,0.06
18:42.0,0.69,0.06
18:47.7,0.65,0.06
18:53.4,0.67,0.06
18:59.1,0.67,0.06
19:04.8,0.69,0.06
19:10.5,0.74,0.06
19:16.2,0.69,0.12
19:21.8,0.76,0.06
19:27.6,0.74,0.06
19:33.2,0.72,0.06
19:38.9,0.72,0.06
19:44.6,0.69,0.06
19:50.3,0.72,0.06
19:56.0,0.67,0.06
20:01.7,0.69,0.06
20:07.4,0.65,0.06
20:13.1,0.67,0.06
20:18.8,0.69,0.12
20:24.4,0.67,0.06
20:30.1,0.67,0.12
20:35.9,0.69,0.06
20:41.5,0.63,0.06
20:47.2,0.67,0.06
20:52.9,0.65,0.06
20:58.6,0.67,0.06
21:04.3,0.72,0.06
21:10.0,0.72,0.06
21:15.7,0.72,0.06
21:21.4,0.67,0.06
21:27.1,0.69,0.12
21:32.7,0.67,0.06
21:38.5,0.69,0.06
21:44.1,0.69,0.12
21:49.8,0.65,0.06
21:55.5,0.67,0.06
22:01.2,0.69,0.06
22:06.9,0.72,0.06
22:12.6,0.72,0.06
22:18.3,0.72,0.06
22:24.0,0.67,0.06
22:29.7,0.69,0.06
22:35.4,0.67,0.06
22:41.1,0.65,0.06
22:46.8,0.67,0.06
22:52.4,0.72,0.06
22:58.1,0.69,0.06
23:03.8,0.67,0.06
23:09.5,0.67,0.06
23:15.2,0.69,0.12
23:20.9,0.72,0.06
23:26.6,0.69,0.06
23:32.3,0.65,0.06
23:37.9,0.72,0.06
23:43.7,0.67,0.06
23:49.3,0.65,0.06
23:55.1,0.69,0.06
24:00.7,0.63,0.06
24:06.4,0.67,0.12
24:12.1,0.72,0.06
24:17.8,0.65,0.06
24:23.5,0.67,0.12
24:29.2,0.72,0.06
24:34.8,0.65,0.06
24:40.5,0.67,0.06
24:46.3,0.67,0.06
24:51.9,0.69,0.06
24:57.6,0.67,0.06
25:03.3,0.67,0.06
25:09.0,0.74,0.06
25:14.7,0.67,0.06
25:20.4,0.61,0.12
25:26.1,0.69,0.06
25:31.8,0.69,0.06
25:37.5,0.67,0.06
25:43.2,0.69,0.12
25:48.8,0.67,0.06
25:54.5,0.69,0.12
26:00.2,0.63,0.06
26:05.9,0.65,0.06
26:11.6,0.69,0.06
26:17.3,0.69,0.12
26:23.0,0.72,0.12
26:28.7,0.69,0.12
26:34.4,0.63,0.12
26:40.1,0.63,0.06
26:45.8,0.61,0.06
26:51.5,0.69,0.06
26:57.2,0.65,0.12
27:02.8,0.61,0.06
27:08.5,0.67,0.06
27:14.2,0.65,0.06
27:19.9,0.63,0.12
27:25.6,0.67,0.12
27:31.3,0.69,0.12
27:37.0,0.63,0.12
27:42.7,0.67,0.12
27:48.4,0.67,0.06
27:54.1,0.67,0.06
27:59.7,0.63,0.12
28:05.4,0.61,0.06
28:11.1,0.58,0.06
28:16.8,0.65,0.12
28:22.5,0.61,0.12
28:28.2,0.63,0.12
28:33.9,0.63,0.12
28:39.6,0.65,0.12
28:45.3,0.65,0.12
28:51.0,0.67,0.06
28:56.6,0.72,0.12
29:02.4,0.67,0.12
29:08.0,0.65,0.12
29:13.7,0.63,0.12
29:19.4,0.63,0.12
29:25.1,0.72,0.06
29:30.8,0.67,0.06
29:36.5,0.61,0.06
29:42.2,0.65,0.12
29:47.9,0.67,0.12
29:53.6,0.65,0.12
29:59.3,0.67,0.12
30:05.0,0.67,0.06
30:10.6,0.63,0.06
30:16.3,0.63,0.12
30:22.0,0.69,0.12
30:27.7,0.63,0.06
30:33.4,0.58,0.06
30:39.1,0.67,0.12
30:44.8,0.69,0.12
30:50.5,0.63,0.06
30:56.2,0.63,0.06
31:01.9,0.61,0.12
31:07.5,0.67,0.12
31:13.2,0.65,0.06
31:18.9,0.65,0.12
31:24.6,0.67,0.12
31:30.3,0.69,0.12
31:36.0,0.69,0.06
31:41.7,0.65,0.12
31:47.4,0.67,0.12
31:53.1,0.65,0.12
31:58.8,0.67,0.12
32:04.4,0.63,0.12
32:10.1,0.61,0.12
32:15.8,0.65,0.06
32:21.5,0.67,0.06
32:27.2,0.69,0.06
32:32.9,0.63,0.06
32:38.6,0.65,0.06
32:44.3,0.63,0.06
32:50.0,0.63,0.12
32:55.7,0.67,0.12
33:01.4,0.61,0.12
33:07.1,0.65,0.12
33:12.7,0.65,0.12
33:18.4,0.67,0.12
33:24.1,0.67,0.06
33:29.8,0.65,0.12
33:35.5,0.63,0.12
33:41.2,0.61,0.12
33:46.9,0.58,0.12
33:52.6,0.61,0.12
33:58.3,0.63,0.06
34:04.0,0.63,0.12
34:09.7,0.65,0.12
34:15.4,0.63,0.06
34:21.1,0.67,0.12
34:26.7,0.67,0.12
34:32.4,0.67,0.12
34:38.1,0.65,0.12
34:43.8,0.67,0.12
34:49.5,0.67,0.06
34:55.2,0.67,0.06
35:00.9,0.67,0.12
35:06.6,0.63,0.12
35:12.2,0.63,0.12
35:17.9,0.67,0.06
35:23.6,0.61,0.06
35:29.4,0.67,0.12
35:35.0,0.63,0.12
35:40.7,0.72,0.12
35:46.4,0.72,0.12
35:52.1,0.67,0.12
35:57.8,0.63,0.12
36:03.5,0.65,0.06
36:09.2,0.65,0.06
36:14.9,0.65,0.12
36:20.5,0.65,0.12
36:26.2,0.67,0.12
36:31.9,0.72,0.06
36:37.7,0.65,0.12
36:43.3,0.65,0.12
36:49.0,0.58,0.12
36:54.7,0.61,0.06
37:00.4,0.65,0.06
37:06.1,0.67,0.12
37:11.8,0.65,0.12
37:17.5,0.69,0.12
37:23.1,0.63,0.12
37:28.8,0.65,0.06
37:34.6,0.67,0.12
37:40.2,0.67,0.06
37:45.9,0.65,0.06
37:51.6,0.63,0.06
37:57.3,0.65,0.12
38:03.0,0.65,0.06
38:08.7,0.61,0.06
38:14.4,0.63,0.06
38:20.1,0.63,0.06
38:25.7,0.67,0.06
38:31.4,0.63,0.12
38:37.1,0.63,0.06
38:42.8,0.58,0.12
