Time,Digital Thermometer,Thermistor
26/01/2021 16:34,1.25,1.17
26/01/2021 16:34,1.31,1.13
26/01/2021 16:34,1.25,1.13
26/01/2021 16:34,1.25,1.2
26/01/2021 16:34,1.25,1.15
26/01/2021 16:34,1.31,1.11
26/01/2021 16:34,1.31,1.13
26/01/2021 16:34,1.31,1.15
26/01/2021 16:34,1.25,1.15
26/01/2021 16:34,1.31,1.15
26/01/2021 16:34,1.31,1.17
26/01/2021 16:34,1.31,1.13
26/01/2021 16:35,1.31,1.11
26/01/2021 16:35,1.31,1.13
26/01/2021 16:35,1.31,1.11
26/01/2021 16:35,1.31,1.11
26/01/2021 16:35,1.31,1.13
26/01/2021 16:35,1.31,1.11
26/01/2021 16:35,1.25,1.15
26/01/2021 16:35,1.25,1.13
26/01/2021 16:35,1.31,1.17
26/01/2021 16:35,1.25,1.13
26/01/2021 16:35,1.31,1.13
26/01/2021 16:35,1.25,1.2
26/01/2021 16:35,1.31,1.13
26/01/2021 16:35,1.31,1.13
26/01/2021 16:35,1.31,1.13
26/01/2021 16:35,1.31,1.13
26/01/2021 16:35,1.31,1.15
26/01/2021 16:35,1.31,1.17
26/01/2021 16:35,1.25,1.15
26/01/2021 16:35,1.31,1.13
26/01/2021 16:35,1.25,1.17
26/01/2021 16:35,1.25,1.15
26/01/2021 16:35,1.31,1.11
26/01/2021 16:35,1.31,1.17
26/01/2021 16:35,1.31,1.13
26/01/2021 16:35,1.31,1.15
26/01/2021 16:35,1.31,1.13
26/01/2021 16:35,1.25,1.13
26/01/2021 16:35,1.25,1.13
26/01/2021 16:35,1.31,1.2
26/01/2021 16:35,1.31,1.11
26/01/2021 16:35,1.31,1.15
26/01/2021 16:35,1.31,1.17
26/01/2021 16:35,1.31,1.17
26/01/2021 16:35,1.31,1.13
26/01/2021 16:36,1.31,1.17
26/01/2021 16:36,1.25,1.13
26/01/2021 16:36,1.31,1.11
26/01/2021 16:36,1.25,1.15
26/01/2021 16:36,1.31,1.15
26/01/2021 16:36,1.25,1.11
26/01/2021 16:36,1.31,1.15
26/01/2021 16:36,1.25,1.13
